TIME_PERIOD,OBS_VALUE,indic,geo
2015-09-01,-44.5,Construction confidence indicator,Greece
2015-12-01,-48.8,Construction confidence indicator,Greece
2016-03-01,-38.7,Construction confidence indicator,Greece
2016-06-01,-40.0,Construction confidence indicator,Greece
2016-09-01,-56.0,Construction confidence indicator,Greece
2016-12-01,-44.3,Construction confidence indicator,Greece
2017-03-01,-52.5,Construction confidence indicator,Greece
2017-06-01,-55.1,Construction confidence indicator,Greece
2017-09-01,-32.4,Construction confidence indicator,Greece
2017-12-01,-59.0,Construction confidence indicator,Greece
2018-03-01,-58.5,Construction confidence indicator,Greece
2018-06-01,-48.0,Construction confidence indicator,Greece
2018-09-01,-51.5,Construction confidence indicator,Greece
2018-12-01,-55.5,Construction confidence indicator,Greece
2019-03-01,-49.9,Construction confidence indicator,Greece
2019-06-01,-54.3,Construction confidence indicator,Greece
2019-09-01,-52.3,Construction confidence indicator,Greece
2019-12-01,-19.8,Construction confidence indicator,Greece
2020-03-01,-31.7,Construction confidence indicator,Greece
2020-06-01,-56.8,Construction confidence indicator,Greece
2020-09-01,-49.4,Construction confidence indicator,Greece
2010-06-01,-31.4,Construction confidence indicator,Spain
2010-09-01,-21.3,Construction confidence indicator,Spain
2010-12-01,-51.7,Construction confidence indicator,Spain
2011-03-01,-62.2,Construction confidence indicator,Spain
2011-06-01,-52.2,Construction confidence indicator,Spain
2011-09-01,-57.3,Construction confidence indicator,Spain
2011-12-01,-59.1,Construction confidence indicator,Spain
2012-03-01,-47.4,Construction confidence indicator,Spain
2012-06-01,-46.0,Construction confidence indicator,Spain
2012-09-01,-52.5,Construction confidence indicator,Spain
2012-12-01,-64.0,Construction confidence indicator,Spain
2013-03-01,-48.7,Construction confidence indicator,Spain
2013-06-01,-48.7,Construction confidence indicator,Spain
2013-09-01,-45.0,Construction confidence indicator,Spain
2013-12-01,-48.4,Construction confidence indicator,Spain
2014-03-01,-50.2,Construction confidence indicator,Spain
2014-06-01,-62.8,Construction confidence indicator,Spain
2014-09-01,-24.0,Construction confidence indicator,Spain
2014-12-01,-27.5,Construction confidence indicator,Spain
2015-03-01,-20.9,Construction confidence indicator,Spain
2015-06-01,-31.9,Construction confidence indicator,Spain
2015-09-01,-29.7,Construction confidence indicator,Spain
2015-12-01,-18.8,Construction confidence indicator,Spain
2016-03-01,-42.7,Construction confidence indicator,Spain
2016-06-01,-47.8,Construction confidence indicator,Spain
2016-09-01,-40.0,Construction confidence indicator,Spain
2016-12-01,-37.0,Construction confidence indicator,Spain
2017-03-01,-38.0,Construction confidence indicator,Spain
2017-06-01,-26.3,Construction confidence indicator,Spain
2017-09-01,-13.3,Construction confidence indicator,Spain
2017-12-01,-14.9,Construction confidence indicator,Spain
2018-03-01,-7.0,Construction confidence indicator,Spain
2018-06-01,-9.8,Construction confidence indicator,Spain
2018-09-01,6.1,Construction confidence indicator,Spain
2018-12-01,-5.2,Construction confidence indicator,Spain
2019-03-01,-3.6,Construction confidence indicator,Spain
2019-06-01,3.9,Construction confidence indicator,Spain
2019-09-01,-5.8,Construction confidence indicator,Spain
2019-12-01,-11.8,Construction confidence indicator,Spain
2020-03-01,-10.9,Construction confidence indicator,Spain
2020-06-01,-18.1,Construction confidence indicator,Spain
2020-09-01,-19.4,Construction confidence indicator,Spain
2010-06-01,-24.5,Construction confidence indicator,Finland
2010-09-01,-8.8,Construction confidence indicator,Finland
2010-12-01,-7.1,Construction confidence indicator,Finland
2011-03-01,-0.5,Construction confidence indicator,Finland
2011-06-01,1.5,Construction confidence indicator,Finland
2011-09-01,-6.3,Construction confidence indicator,Finland
2011-12-01,-18.6,Construction confidence indicator,Finland
2012-03-01,-0.6,Construction confidence indicator,Finland
2012-06-01,-15.9,Construction confidence indicator,Finland
2012-09-01,-22.8,Construction confidence indicator,Finland
2012-12-01,-29.0,Construction confidence indicator,Finland
2013-03-01,-22.8,Construction confidence indicator,Finland
2013-06-01,-18.8,Construction confidence indicator,Finland
2013-09-01,-24.4,Construction confidence indicator,Finland
2013-12-01,-19.0,Construction confidence indicator,Finland
2014-03-01,-27.0,Construction confidence indicator,Finland
2014-06-01,-19.6,Construction confidence indicator,Finland
2014-09-01,-37.7,Construction confidence indicator,Finland
2014-12-01,-21.4,Construction confidence indicator,Finland
2015-03-01,-20.0,Construction confidence indicator,Finland
2015-06-01,-13.6,Construction confidence indicator,Finland
2015-09-01,-10.4,Construction confidence indicator,Finland
2015-12-01,-5.6,Construction confidence indicator,Finland
2016-03-01,-3.6,Construction confidence indicator,Finland
2016-06-01,-4.3,Construction confidence indicator,Finland
2016-09-01,0.4,Construction confidence indicator,Finland
2016-12-01,-4.3,Construction confidence indicator,Finland
2017-03-01,-2.4,Construction confidence indicator,Finland
2017-06-01,6.0,Construction confidence indicator,Finland
2017-09-01,-7.9,Construction confidence indicator,Finland
2017-12-01,8.5,Construction confidence indicator,Finland
2018-03-01,0.7,Construction confidence indicator,Finland
2018-06-01,11.3,Construction confidence indicator,Finland
2018-09-01,11.6,Construction confidence indicator,Finland
2018-12-01,11.6,Construction confidence indicator,Finland
2019-03-01,8.2,Construction confidence indicator,Finland
2019-06-01,3.3,Construction confidence indicator,Finland
2019-09-01,5.3,Construction confidence indicator,Finland
2019-12-01,-0.3,Construction confidence indicator,Finland
2020-03-01,-2.8,Construction confidence indicator,Finland
2020-06-01,-23.0,Construction confidence indicator,Finland
2020-09-01,-16.8,Construction confidence indicator,Finland
2010-06-01,-34.1,Construction confidence indicator,France
2010-09-01,-29.0,Construction confidence indicator,France
2010-12-01,-20.7,Construction confidence indicator,France
2011-03-01,-15.5,Construction confidence indicator,France
2011-06-01,-10.7,Construction confidence indicator,France
2011-09-01,-16.0,Construction confidence indicator,France
2011-12-01,-16.2,Construction confidence indicator,France
2012-03-01,-15.8,Construction confidence indicator,France
2012-06-01,-19.4,Construction confidence indicator,France
2012-09-01,-23.6,Construction confidence indicator,France
2012-12-01,-26.1,Construction confidence indicator,France
2013-03-01,-28.1,Construction confidence indicator,France
2013-06-01,-30.0,Construction confidence indicator,France
2013-09-01,-25.9,Construction confidence indicator,France
2013-12-01,-27.0,Construction confidence indicator,France
2014-03-01,-27.8,Construction confidence indicator,France
2014-06-01,-34.9,Construction confidence indicator,France
2014-09-01,-42.1,Construction confidence indicator,France
2014-12-01,-44.0,Construction confidence indicator,France
2015-03-01,-45.0,Construction confidence indicator,France
2015-06-01,-43.7,Construction confidence indicator,France
2015-09-01,-41.2,Construction confidence indicator,France
2015-12-01,-39.3,Construction confidence indicator,France
2016-03-01,-34.7,Construction confidence indicator,France
2016-06-01,-31.9,Construction confidence indicator,France
2016-09-01,-27.6,Construction confidence indicator,France
2016-12-01,-21.1,Construction confidence indicator,France
2017-03-01,-16.9,Construction confidence indicator,France
2017-06-01,-7.9,Construction confidence indicator,France
2017-09-01,-2.6,Construction confidence indicator,France
2017-12-01,4.5,Construction confidence indicator,France
2018-03-01,4.6,Construction confidence indicator,France
2018-06-01,5.5,Construction confidence indicator,France
2018-09-01,8.3,Construction confidence indicator,France
2018-12-01,9.8,Construction confidence indicator,France
2019-03-01,10.4,Construction confidence indicator,France
2019-06-01,11.8,Construction confidence indicator,France
2019-09-01,11.6,Construction confidence indicator,France
2019-12-01,15.9,Construction confidence indicator,France
2020-03-01,-10.2,Construction confidence indicator,France
2020-06-01,-11.7,Construction confidence indicator,France
2020-09-01,-11.3,Construction confidence indicator,France
2010-06-01,-41.0,Construction confidence indicator,Croatia
2010-09-01,-43.4,Construction confidence indicator,Croatia
2010-12-01,-39.3,Construction confidence indicator,Croatia
2011-03-01,-40.2,Construction confidence indicator,Croatia
2011-06-01,-33.4,Construction confidence indicator,Croatia
2011-09-01,-31.9,Construction confidence indicator,Croatia
2011-12-01,-31.9,Construction confidence indicator,Croatia
2012-03-01,-40.2,Construction confidence indicator,Croatia
2012-06-01,-34.5,Construction confidence indicator,Croatia
2012-09-01,-33.2,Construction confidence indicator,Croatia
2012-12-01,-26.9,Construction confidence indicator,Croatia
2013-03-01,-24.9,Construction confidence indicator,Croatia
2013-06-01,-33.8,Construction confidence indicator,Croatia
2013-09-01,-36.6,Construction confidence indicator,Croatia
2013-12-01,-40.5,Construction confidence indicator,Croatia
2014-03-01,-32.1,Construction confidence indicator,Croatia
2014-06-01,-31.7,Construction confidence indicator,Croatia
2014-09-01,-29.0,Construction confidence indicator,Croatia
2014-12-01,-29.2,Construction confidence indicator,Croatia
2015-03-01,-31.1,Construction confidence indicator,Croatia
2015-06-01,-25.5,Construction confidence indicator,Croatia
