ar_coefficients,repetition,horizon,method,error
0.7,6,1,flattened_forecast_error,18.735636124050053
0.7,7,0,flattened_forecast_error,35.44721980324164
0.7,7,1,flattened_forecast_error,66.09333804678405
0.7,8,0,flattened_forecast_error,48.62539519121433
0.7,8,1,flattened_forecast_error,68.02076097267314
0.7,9,0,flattened_forecast_error,41.53914546715788
0.7,9,1,flattened_forecast_error,32.75651290308128
0.7,10,0,flattened_forecast_error,64.18128298477222
0.7,10,1,flattened_forecast_error,128.67565817414174
0.7,11,0,flattened_forecast_error,72.38567114192462
0.7,11,1,flattened_forecast_error,27.361330137215788
0.7,12,0,flattened_forecast_error,19.69412893932563
0.7,12,1,flattened_forecast_error,47.4339645285072
0.7,13,0,flattened_forecast_error,45.65479008463818
0.7,13,1,flattened_forecast_error,27.45386980022525
0.7,14,0,flattened_forecast_error,34.12480019085236
0.7,14,1,flattened_forecast_error,49.58999238957026
0.7,15,0,flattened_forecast_error,21.98143095921448
0.7,15,1,flattened_forecast_error,29.457339254559987
0.7,16,0,flattened_forecast_error,59.19276677114018
0.7,16,1,flattened_forecast_error,35.826589706815255
0.7,17,0,flattened_forecast_error,57.54260360625249
0.7,17,1,flattened_forecast_error,31.78103289108182
0.7,18,0,flattened_forecast_error,41.63005644042116
0.7,18,1,flattened_forecast_error,32.364450869791156
0.7,19,0,flattened_forecast_error,34.807518383270484
0.7,19,1,flattened_forecast_error,32.34607609311094
0.7,20,0,flattened_forecast_error,21.378088380865925
0.7,20,1,flattened_forecast_error,30.235167526803362
0.7,21,0,flattened_forecast_error,34.4541969442813
0.7,21,1,flattened_forecast_error,51.14063831541619
0.7,22,0,flattened_forecast_error,119.24228359412008
0.7,22,1,flattened_forecast_error,104.98483414564491
0.7,23,0,flattened_forecast_error,22.829311821742998
0.7,23,1,flattened_forecast_error,33.04160890766003
0.7,24,0,flattened_forecast_error,72.47805418482346
0.7,24,1,flattened_forecast_error,44.18128166951342
0.7,25,0,flattened_forecast_error,77.64334540461283
0.7,25,1,flattened_forecast_error,17.92546124822567
0.7,26,0,flattened_forecast_error,20.429736957289958
0.7,26,1,flattened_forecast_error,33.80727437125156
0.7,27,0,flattened_forecast_error,43.183614228142225
0.7,27,1,flattened_forecast_error,72.51568489748276
0.7,28,0,flattened_forecast_error,40.6765653945083
0.7,28,1,flattened_forecast_error,17.230524153307506
0.7,29,0,flattened_forecast_error,51.66464194259147
0.7,29,1,flattened_forecast_error,77.89900827928241
0.7,30,0,flattened_forecast_error,34.91049802269119
0.7,30,1,flattened_forecast_error,26.041203547618235
0.7,31,0,flattened_forecast_error,71.20313336403657
0.7,31,1,flattened_forecast_error,77.39267252347045
0.7,32,0,flattened_forecast_error,54.86693691682534
0.7,32,1,flattened_forecast_error,115.05408205405905
0.7,33,0,flattened_forecast_error,8.73151669037297
0.7,33,1,flattened_forecast_error,39.39602299880037
0.7,34,0,flattened_forecast_error,2.3559696943752018
0.7,34,1,flattened_forecast_error,20.654085914401712
0.7,35,0,flattened_forecast_error,18.133981700285076
0.7,35,1,flattened_forecast_error,23.494326583303454
0.7,36,0,flattened_forecast_error,28.331495617386867
0.7,36,1,flattened_forecast_error,11.840831777265647
0.7,37,0,flattened_forecast_error,65.49062600980332
0.7,37,1,flattened_forecast_error,86.05539272723551
0.7,38,0,flattened_forecast_error,51.820464978618766
0.7,38,1,flattened_forecast_error,57.91019969518364
0.7,39,0,flattened_forecast_error,67.0253599440427
0.7,39,1,flattened_forecast_error,47.86889333667029
0.7,40,0,flattened_forecast_error,114.19906095040074
0.7,40,1,flattened_forecast_error,35.31931819594167
0.7,41,0,flattened_forecast_error,38.17051276095039
0.7,41,1,flattened_forecast_error,56.73964490549732
0.7,42,0,flattened_forecast_error,133.44111268417498
0.7,42,1,flattened_forecast_error,62.535162201213595
0.7,43,0,flattened_forecast_error,16.185898594816024
0.7,43,1,flattened_forecast_error,49.31146957663737
0.7,44,0,flattened_forecast_error,39.30344681168261
0.7,44,1,flattened_forecast_error,47.51719820887869
0.7,45,0,flattened_forecast_error,58.65065167059548
0.7,45,1,flattened_forecast_error,108.15236660203955
0.7,46,0,flattened_forecast_error,33.27265559826333
0.7,46,1,flattened_forecast_error,37.5508412084355
0.7,47,0,flattened_forecast_error,26.523715700866155
0.7,47,1,flattened_forecast_error,22.862405913057636
